Image,Annotations
ade20k/ADE_train_00002349.jpg,ade20k/ADE_train_00002349_object.png
ade20k/ADE_val_00001936.jpg,ade20k/ADE_val_00001936_object.png
ade20k/ADE_train_00005558.jpg,ade20k/ADE_train_00005558_object.png
ade20k/ADE_train_00002351.jpg,ade20k/ADE_train_00002351_object.png
ade20k/ADE_train_00002350.jpg,ade20k/ADE_train_00002350_object.png
ade20k/ADE_train_00002345.jpg,ade20k/ADE_train_00002345_object.png
ade20k/ADE_train_00002346.jpg,ade20k/ADE_train_00002346_object.png
ade20k/ADE_val_00000067.jpg,ade20k/ADE_val_00000067_object.png
ade20k/ADE_train_00002348.jpg,ade20k/ADE_train_00002348_object.png
ade20k/ADE_train_00002343.jpg,ade20k/ADE_train_00002343_object.png
