Image,Annotations
ade20k/ADE_train_00004963.jpg,ade20k/ADE_train_00004963_part_1.png
ade20k/ADE_val_00001645.jpg,ade20k/ADE_val_00001645_part_1.png
ade20k/ADE_train_00007369.jpg,ade20k/ADE_train_00007369_part_1.png
ade20k/ADE_train_00014076.jpg,ade20k/ADE_train_00014076_part_1.png
ade20k/ADE_train_00014036.jpg,ade20k/ADE_train_00014036_part_1.png
ade20k/ADE_train_00009408.jpg,ade20k/ADE_train_00009408_part_1.png
ade20k/ADE_train_00007527.jpg,ade20k/ADE_train_00007527_part_1.png
ade20k/ADE_train_00001560.jpg,ade20k/ADE_train_00001560_part_1.png
ade20k/ADE_train_00014015.jpg,ade20k/ADE_train_00014015_part_1.png
ade20k/ADE_train_00014063.jpg,ade20k/ADE_train_00014063_part_1.png
ade20k/ADE_train_00000627.jpg,ade20k/ADE_train_00000627_part_2.png
ade20k/ADE_train_00003289.jpg,ade20k/ADE_train_00003289_part_1.png
ade20k/ADE_train_00006177.jpg,ade20k/ADE_train_00006177_part_1.png
ade20k/ADE_train_00009394.jpg,ade20k/ADE_train_00009394_part_1.png
ade20k/ADE_train_00014025.jpg,ade20k/ADE_train_00014025_part_1.png
ade20k/ADE_train_00009376.jpg,ade20k/ADE_train_00009376_part_1.png
ade20k/ADE_train_00005644.jpg,ade20k/ADE_train_00005644_part_1.png
ade20k/ADE_train_00009392.jpg,ade20k/ADE_train_00009392_part_1.png
ade20k/ADE_train_00013823.jpg,ade20k/ADE_train_00013823_part_1.png
ade20k/ADE_val_00001644.jpg,ade20k/ADE_val_00001644_part_1.png
ade20k/ADE_train_00013825.jpg,ade20k/ADE_train_00013825_part_1.png
ade20k/ADE_train_00000594.jpg,ade20k/ADE_train_00000594_part_1.png
ade20k/ADE_train_00000405.jpg,ade20k/ADE_train_00000405_part_1.png
ade20k/ADE_train_00007521.jpg,ade20k/ADE_train_00007521_part_1.png
ade20k/ADE_train_00005950.jpg,ade20k/ADE_train_00005950_part_1.png
ade20k/ADE_train_00009389.jpg,ade20k/ADE_train_00009389_part_1.png
ade20k/ADE_train_00011101.jpg,ade20k/ADE_train_00011101_part_1.png
ade20k/ADE_train_00003779.jpg,ade20k/ADE_train_00003779_part_1.png
ade20k/ADE_train_00006563.jpg,ade20k/ADE_train_00006563_part_1.png
ade20k/ADE_train_00006558.jpg,ade20k/ADE_train_00006558_part_1.png
ade20k/ADE_train_00009363.jpg,ade20k/ADE_train_00009363_part_1.png
ade20k/ADE_train_00014080.jpg,ade20k/ADE_train_00014080_part_1.png
ade20k/ADE_train_00012283.jpg,ade20k/ADE_train_00012283_part_1.png
ade20k/ADE_train_00009401.jpg,ade20k/ADE_train_00009401_part_1.png
ade20k/ADE_train_00014104.jpg,ade20k/ADE_train_00014104_part_1.png
ade20k/ADE_train_00009395.jpg,ade20k/ADE_train_00009395_part_1.png
ade20k/ADE_train_00000933.jpg,ade20k/ADE_train_00000933_part_1.png
ade20k/ADE_train_00014012.jpg,ade20k/ADE_train_00014012_part_1.png
ade20k/ADE_train_00009397.jpg,ade20k/ADE_train_00009397_part_1.png
ade20k/ADE_train_00014083.jpg,ade20k/ADE_train_00014083_part_1.png
ade20k/ADE_train_00014046.jpg,ade20k/ADE_train_00014046_part_1.png
ade20k/ADE_train_00014784.jpg,ade20k/ADE_train_00014784_part_1.png
ade20k/ADE_train_00006647.jpg,ade20k/ADE_train_00006647_part_1.png
ade20k/ADE_train_00005947.jpg,ade20k/ADE_train_00005947_part_1.png
ade20k/ADE_train_00005944.jpg,ade20k/ADE_train_00005944_part_1.png
ade20k/ADE_train_00005621.jpg,ade20k/ADE_train_00005621_part_1.png
ade20k/ADE_val_00000636.jpg,ade20k/ADE_val_00000636_part_1.png
ade20k/ADE_val_00001724.jpg,ade20k/ADE_val_00001724_part_1.png
ade20k/ADE_train_00020098.jpg,ade20k/ADE_train_00020098_part_1.png
ade20k/ADE_train_00009359.jpg,ade20k/ADE_train_00009359_part_1.png
ade20k/ADE_train_00009385.jpg,ade20k/ADE_train_00009385_part_1.png
ade20k/ADE_train_00003336.jpg,ade20k/ADE_train_00003336_part_1.png
ade20k/ADE_train_00007395.jpg,ade20k/ADE_train_00007395_part_1.png
ade20k/ADE_train_00009407.jpg,ade20k/ADE_train_00009407_part_1.png
ade20k/ADE_train_00014068.jpg,ade20k/ADE_train_00014068_part_1.png
ade20k/ADE_train_00014061.jpg,ade20k/ADE_train_00014061_part_1.png
ade20k/ADE_train_00014005.jpg,ade20k/ADE_train_00014005_part_1.png
ade20k/ADE_train_00014020.jpg,ade20k/ADE_train_00014020_part_1.png
ade20k/ADE_val_00000118.jpg,ade20k/ADE_val_00000118_part_1.png
ade20k/ADE_train_00009521.jpg,ade20k/ADE_train_00009521_part_1.png
ade20k/ADE_train_00004958.jpg,ade20k/ADE_train_00004958_part_1.png
ade20k/ADE_train_00014137.jpg,ade20k/ADE_train_00014137_part_1.png
ade20k/ADE_train_00009348.jpg,ade20k/ADE_train_00009348_part_1.png
ade20k/ADE_train_00006531.jpg,ade20k/ADE_train_00006531_part_1.png
ade20k/ADE_train_00009320.jpg,ade20k/ADE_train_00009320_part_1.png
ade20k/ADE_train_00006185.jpg,ade20k/ADE_train_00006185_part_1.png
ade20k/ADE_val_00000267.jpg,ade20k/ADE_val_00000267_part_1.png
ade20k/ADE_train_00014070.jpg,ade20k/ADE_train_00014070_part_1.png
ade20k/ADE_train_00003331.jpg,ade20k/ADE_train_00003331_part_1.png
ade20k/ADE_train_00011502.jpg,ade20k/ADE_train_00011502_part_1.png
ade20k/ADE_train_00006125.jpg,ade20k/ADE_train_00006125_part_1.png
ade20k/ADE_train_00009387.jpg,ade20k/ADE_train_00009387_part_1.png
ade20k/ADE_train_00014110.jpg,ade20k/ADE_train_00014110_part_1.png
ade20k/ADE_train_00012273.jpg,ade20k/ADE_train_00012273_part_1.png
ade20k/ADE_train_00014002.jpg,ade20k/ADE_train_00014002_part_1.png
ade20k/ADE_train_00014039.jpg,ade20k/ADE_train_00014039_part_1.png
ade20k/ADE_train_00003706.jpg,ade20k/ADE_train_00003706_part_1.png
ade20k/ADE_train_00005501.jpg,ade20k/ADE_train_00005501_part_1.png
ade20k/ADE_train_00014007.jpg,ade20k/ADE_train_00014007_part_1.png
ade20k/ADE_train_00006547.jpg,ade20k/ADE_train_00006547_part_1.png
ade20k/ADE_train_00000649.jpg,ade20k/ADE_train_00000649_part_1.png
ade20k/ADE_train_00000397.jpg,ade20k/ADE_train_00000397_part_1.png
ade20k/ADE_train_00013504.jpg,ade20k/ADE_train_00013504_part_1.png
ade20k/ADE_train_00013752.jpg,ade20k/ADE_train_00013752_part_1.png
ade20k/ADE_train_00004965.jpg,ade20k/ADE_train_00004965_part_1.png
ade20k/ADE_train_00006001.jpg,ade20k/ADE_train_00006001_part_1.png
ade20k/ADE_val_00001648.jpg,ade20k/ADE_val_00001648_part_1.png
ade20k/ADE_train_00014051.jpg,ade20k/ADE_train_00014051_part_1.png
ade20k/ADE_train_00013777.jpg,ade20k/ADE_train_00013777_part_1.png
ade20k/ADE_train_00009339.jpg,ade20k/ADE_train_00009339_part_1.png
ade20k/ADE_train_00006176.jpg,ade20k/ADE_train_00006176_part_1.png
ade20k/ADE_val_00000645.jpg,ade20k/ADE_val_00000645_part_1.png
ade20k/ADE_train_00012271.jpg,ade20k/ADE_train_00012271_part_1.png
ade20k/ADE_val_00001646.jpg,ade20k/ADE_val_00001646_part_1.png
ade20k/ADE_train_00014084.jpg,ade20k/ADE_train_00014084_part_1.png
ade20k/ADE_train_00009337.jpg,ade20k/ADE_train_00009337_part_1.png
ade20k/ADE_train_00009398.jpg,ade20k/ADE_train_00009398_part_1.png
ade20k/ADE_train_00009388.jpg,ade20k/ADE_train_00009388_part_1.png
ade20k/ADE_train_00005952.jpg,ade20k/ADE_train_00005952_part_1.png
ade20k/ADE_train_00014011.jpg,ade20k/ADE_train_00014011_part_1.png
ade20k/ADE_train_00014029.jpg,ade20k/ADE_train_00014029_part_1.png
ade20k/ADE_train_00014004.jpg,ade20k/ADE_train_00014004_part_1.png
ade20k/ADE_train_00006561.jpg,ade20k/ADE_train_00006561_part_1.png
