Image,Annotations
ade20k/ADE_val_00000235.jpg,ade20k/ADE_val_00000235_object.png
ade20k/ADE_train_00016835.jpg,ade20k/ADE_train_00016835_object.png
ade20k/ADE_train_00004842.jpg,ade20k/ADE_train_00004842_object.png
ade20k/ADE_train_00003007.jpg,ade20k/ADE_train_00003007_object.png
ade20k/ADE_train_00007250.jpg,ade20k/ADE_train_00007250_object.png
ade20k/ADE_val_00001942.jpg,ade20k/ADE_val_00001942_object.png
ade20k/ADE_train_00016804.jpg,ade20k/ADE_train_00016804_object.png
ade20k/ADE_train_00005285.jpg,ade20k/ADE_train_00005285_object.png
ade20k/ADE_train_00005284.jpg,ade20k/ADE_train_00005284_object.png
ade20k/ADE_train_00005281.jpg,ade20k/ADE_train_00005281_object.png
ade20k/ADE_train_00005282.jpg,ade20k/ADE_train_00005282_object.png
ade20k/ADE_train_00005280.jpg,ade20k/ADE_train_00005280_object.png
