Image,Annotations
opensurfaces/114055.jpg,opensurfaces/114055_material.png
opensurfaces/60489.jpg,opensurfaces/60489_material.png
opensurfaces/99396.jpg,opensurfaces/99396_material.png
opensurfaces/111086.jpg,opensurfaces/111086_material.png
opensurfaces/117092.jpg,opensurfaces/117092_material.png
opensurfaces/97296.jpg,opensurfaces/97296_material.png
opensurfaces/87637.jpg,opensurfaces/87637_material.png
opensurfaces/94312.jpg,opensurfaces/94312_material.png
opensurfaces/93867.jpg,opensurfaces/93867_material.png
opensurfaces/111519.jpg,opensurfaces/111519_material.png
opensurfaces/117271.jpg,opensurfaces/117271_material.png
opensurfaces/114159.jpg,opensurfaces/114159_material.png
opensurfaces/57309.jpg,opensurfaces/57309_material.png
opensurfaces/85220.jpg,opensurfaces/85220_material.png
opensurfaces/97532.jpg,opensurfaces/97532_material.png
opensurfaces/4802.jpg,opensurfaces/4802_material.png
opensurfaces/76181.jpg,opensurfaces/76181_material.png
opensurfaces/2517.jpg,opensurfaces/2517_material.png
opensurfaces/85999.jpg,opensurfaces/85999_material.png
opensurfaces/113601.jpg,opensurfaces/113601_material.png
opensurfaces/86156.jpg,opensurfaces/86156_material.png
opensurfaces/115131.jpg,opensurfaces/115131_material.png
opensurfaces/93589.jpg,opensurfaces/93589_material.png
opensurfaces/83473.jpg,opensurfaces/83473_material.png
opensurfaces/99469.jpg,opensurfaces/99469_material.png
opensurfaces/75112.jpg,opensurfaces/75112_material.png
opensurfaces/82746.jpg,opensurfaces/82746_material.png
opensurfaces/94626.jpg,opensurfaces/94626_material.png
opensurfaces/19710.jpg,opensurfaces/19710_material.png
opensurfaces/97979.jpg,opensurfaces/97979_material.png
opensurfaces/10583.jpg,opensurfaces/10583_material.png
opensurfaces/79373.jpg,opensurfaces/79373_material.png
opensurfaces/74884.jpg,opensurfaces/74884_material.png
opensurfaces/111224.jpg,opensurfaces/111224_material.png
opensurfaces/58703.jpg,opensurfaces/58703_material.png
opensurfaces/69453.jpg,opensurfaces/69453_material.png
opensurfaces/87910.jpg,opensurfaces/87910_material.png
opensurfaces/22261.jpg,opensurfaces/22261_material.png
opensurfaces/87400.jpg,opensurfaces/87400_material.png
opensurfaces/9046.jpg,opensurfaces/9046_material.png
opensurfaces/112566.jpg,opensurfaces/112566_material.png
opensurfaces/114981.jpg,opensurfaces/114981_material.png
opensurfaces/86362.jpg,opensurfaces/86362_material.png
opensurfaces/57188.jpg,opensurfaces/57188_material.png
opensurfaces/82248.jpg,opensurfaces/82248_material.png
opensurfaces/110971.jpg,opensurfaces/110971_material.png
opensurfaces/58167.jpg,opensurfaces/58167_material.png
opensurfaces/62858.jpg,opensurfaces/62858_material.png
opensurfaces/87722.jpg,opensurfaces/87722_material.png
opensurfaces/61735.jpg,opensurfaces/61735_material.png
opensurfaces/62703.jpg,opensurfaces/62703_material.png
opensurfaces/89508.jpg,opensurfaces/89508_material.png
opensurfaces/83326.jpg,opensurfaces/83326_material.png
opensurfaces/77281.jpg,opensurfaces/77281_material.png
opensurfaces/101907.jpg,opensurfaces/101907_material.png
opensurfaces/20298.jpg,opensurfaces/20298_material.png
opensurfaces/17344.jpg,opensurfaces/17344_material.png
